gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
TRIM51G,ENSG00000220948,120824,A0A3B3IT33,RING,RING,0.0167,0.5,basophil,granulocytes,2.585,1.0,0.464,1.5121
MARCHF6,ENSG00000145495,10299,O60337,RING,RING,81.7533,123.2,neutrophil,granulocytes,0.6165,0.348,0.3124,1.4925
RING1,ENSG00000204227,6015,Q06587,RING,RING,4.4467,8.4,Non-Vd2 gdTCR,T-cells,0.9466,0.4869,1.291,1.4898
KLHL30,ENSG00000168427,377007,Q0D2K2,CRL3,CRL3 substrate receptor (BTB protein),0.14,0.8,classical monocyte,monocytes,2.0506,0.8534,0.7342,1.4841
TRIM68,ENSG00000167333,55128,Q6AZZ1,RING,RING,18.83,30.8,Terminal effector memory CD4 T-cell,T-cells,0.7387,0.402,0.5704,1.4823
KDM2B,ENSG00000089094,84678,Q8NHM5,CRL1,CRL1 substrate receptor (F-box protein),29.02,46.1,Terminal effector memory CD4 T-cell,T-cells,0.6954,0.3833,0.4949,1.4812
FBXO28,ENSG00000143756,23219,Q9NVF7,CRL1,CRL1 substrate receptor (F-box protein),17.5167,28.7,basophil,granulocytes,0.7411,0.4031,0.2763,1.4615
RNF20,ENSG00000155827,56254,Q5VTR2,RING,RING,53.22,81.3,non-classical monocyte,monocytes,0.6368,0.3573,0.3048,1.4477
HACE1,ENSG00000085382,57531,Q8IYU2,HECT,HECT E3 ligase,5.4233,9.9,plasmacytoid DC,dendritic cells,0.8973,0.4678,0.6893,1.4465
BTBD7,ENSG00000011114,55727,Q9P203,CRL3,CRL3 substrate receptor (BTB protein),4.4967,8.4,basophil,granulocytes,0.9298,0.4807,0.4613,1.4448
RNF170,ENSG00000120925,81790,Q96K19,RING,RING,24.6967,39.3,plasmacytoid DC,dendritic cells,0.6976,0.3844,0.5618,1.4301
GTF2H2,ENSG00000145736,2966,Q13888,RING,RING,2.87,5.7,intermediate monocyte,monocytes,1.0138,0.5136,1.0562,1.4289
MYCBP2,ENSG00000005810,23077,O75592,atypical,Atypical (RING-Cys-Relay),23.3367,37.2,naive B-cell,B-cells,0.7001,0.3855,0.4128,1.4186
PEX12,ENSG00000108733,5193,O00623,RING,RING,4.47,8.3,neutrophil,granulocytes,0.9205,0.4774,0.4832,1.4137
MKRN2,ENSG00000075975,23609,Q9H000,RING,RING,52.6267,79.9,Plasmablast,B-cells,0.6274,0.3531,0.2628,1.4042
KLHL29,ENSG00000119771,114818,Q96CT2,CRL3,CRL3 substrate receptor (BTB protein),0.44,1.4,Memory CD4 T-cell Th2,T-cells,1.5652,0.7094,1.1026,1.4023
PPIL2,ENSG00000100023,23759,Q13356,degenerate RING,Degenerate RING (U-box),34.8267,54.0,plasmacytoid DC,dendritic cells,0.6589,0.3673,0.4269,1.3991
RNF115,ENSG00000265491,27246,Q9Y4L5,RING,RING,6.4333,11.4,basophil,granulocytes,0.8541,0.4507,0.3765,1.3981
TRIM52,ENSG00000183718,84851,Q96A61,RING,RING,35.62,55.1,Memory CD4 T-cell Th2,T-cells,0.6553,0.3657,0.4023,1.3925
SOCS4,ENSG00000180008,122809,Q8WXH5,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),7.67,13.3,basophil,granulocytes,0.8228,0.4379,0.4095,1.3828
LZTR1,ENSG00000099949,8216,Q8N653,CRL3,CRL3 substrate receptor (BTB protein),11.0433,18.5,NK-cell,NK-cells,0.7728,0.417,0.7112,1.3809
