gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
LNX2,ENSG00000139517,222484,Q8N448,RING,RING,5.4133,8.1,Memory CD4 T-cell Th17,T-cells,0.5971,0.3431,0.5375,0.6528
ANKRD9,ENSG00000156381,122416,Q96BM1,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.4933,1.1,total PBMC,total PBMC,1.0679,0.5705,0.5758,0.6522
SMURF1,ENSG00000198742,57154,Q9HCE7,HECT,HECT E3 ligase,0.0767,0.4,Memory CD4 T-cell TFH,T-cells,1.5949,0.8362,0.7758,0.6474
FBXL12,ENSG00000127452,54850,Q9NXK8,CRL1,CRL1 substrate receptor (F-box protein),54.9233,72.5,plasmacytoid DC,dendritic cells,0.4159,0.2508,0.2505,0.6467
PRAME,ENSG00000185686,23532,P78395,CRL2,CRL2 substrate receptor (BC-CUL2-box),0.0267,0.3,Memory CD4 T-cell Th2,T-cells,1.7705,0.9425,0.5619,0.6316
UBE3C,ENSG00000009335,9690,Q15386,HECT,HECT E3 ligase,16.2633,22.4,Central memory CD8 T-cell,T-cells,0.4782,0.2834,0.3935,0.6165
BIRC6,ENSG00000115760,57448,Q9NR09,atypical,Atypical E3 (E2/E3 hybrid),35.7767,47.6,Memory CD4 T-cell Th1,T-cells,0.4274,0.257,0.2862,0.6154
TRIM54,ENSG00000138100,57159,Q9BYV2,RING,RING,0.03,0.3,plasmacytoid DC,dendritic cells,1.7287,0.931,0.5121,0.6092
TRIM71,ENSG00000206557,131405,Q2Q1W2,RING,RING,0.0333,0.3,Non-switched memory B-cell,B-cells,1.6881,0.9195,0.5494,0.5875
TRIM65,ENSG00000141569,201292,Q6PJ69,RING,RING,11.8867,16.5,Effector memory CD8 T-cell,T-cells,0.489,0.2892,0.4314,0.5841
OBI1,ENSG00000152193,79596,Q5W0B1,RING,RING,16.4967,22.5,non-classical monocyte,monocytes,0.4635,0.276,0.4785,0.5827
ZNRF3,ENSG00000183579,84133,Q9ULT6,RING,RING,0.3967,0.9,neutrophil,granulocytes,1.061,0.5785,0.5038,0.5684
KLHL17,ENSG00000187961,339451,Q6TDP4,CRL3,CRL3 substrate receptor (BTB protein),1.9233,3.1,Terminal effector memory CD4 T-cell,T-cells,0.6906,0.3927,0.8724,0.552
FBXL15,ENSG00000107872,79176,Q9H469,CRL1,CRL1 substrate receptor (F-box protein),29.0167,38.3,myeloid DC,dendritic cells,0.4152,0.2507,0.3727,0.5514
FEM1A,ENSG00000141965,55527,Q9BSK4,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",12.5267,17.1,classical monocyte,monocytes,0.4641,0.2767,0.2291,0.5364
UBE3B,ENSG00000151148,89910,Q7Z3V4,HECT,HECT E3 ligase,37.3167,48.3,naive B-cell,B-cells,0.386,0.2352,0.1833,0.5106
KCTD18,ENSG00000155729,130535,Q6PI47,CRL3,CRL3 substrate receptor (BTB protein),15.1433,20.3,intermediate monocyte,monocytes,0.4373,0.2628,0.2456,0.5071
RNF6,ENSG00000127870,6049,Q9Y252,RING,RING,85.3367,107.5,NK-cell,NK-cells,0.3457,0.2133,0.2597,0.4986
UBR4,ENSG00000127481,23352,Q5T4S7,degenerate RING,Degenerate RING,55.0,70.0,Vd2 gdTCR,T-cells,0.361,0.2217,0.1952,0.4921
RSPRY1,ENSG00000159579,89970,Q96DX4,RING,RING,48.7133,62.2,neutrophil,granulocytes,0.3658,0.2243,0.2157,0.4908
LRRC58,ENSG00000163428,116064,Q96CX6,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",19.1467,25.2,Memory CD4 T-cell Th1,T-cells,0.4103,0.2485,0.6778,0.4803
BFAR,ENSG00000103429,51283,Q9NZS9,RING,RING,46.1433,58.4,naive CD8 T-cell,T-cells,0.3524,0.2171,0.4044,0.4509
RNF26,ENSG00000173456,79102,Q9BY78,RING,RING,56.64,71.2,naive B-cell,B-cells,0.3424,0.2115,0.7646,0.4471
KLHL11,ENSG00000178502,55175,Q9NVR0,CRL3,CRL3 substrate receptor (BTB protein),7.86,10.7,Non-Vd2 gdTCR,T-cells,0.4581,0.2746,0.4105,0.4463
KLHL12,ENSG00000117153,59349,Q53G59,CRL3,CRL3 substrate receptor (BTB protein),56.4733,70.9,non-classical monocyte,monocytes,0.3404,0.2105,0.2247,0.442
FBXO8,ENSG00000164117,26269,Q9NRD0,CRL1,CRL1 substrate receptor (F-box protein),28.9,37.0,Non-Vd2 gdTCR,T-cells,0.3693,0.2265,0.3348,0.4389
ZFTRAF1,ENSG00000187954,50626,P0DTL6,RING,RING,0.1833,0.5,basophil,granulocytes,1.1392,0.6552,0.891,0.4366
ZSWIM2,ENSG00000163012,151112,Q8NEG5,RING,RING,0.0067,0.2,classical monocyte,monocytes,1.585,1.0,0.2845,0.4169
RBBP6,ENSG00000122257,5930,Q7Z6E9,RING,RING,48.61,60.7,basophil,granulocytes,0.3323,0.206,0.1951,0.4071
KLHDC10,ENSG00000128607,23008,Q6PID8,CRL2,CRL2 substrate receptor (BC-CUL2-box),5.79,7.9,naive CD8 T-cell,T-cells,0.4597,0.2763,0.2613,0.4005
CBLL2,ENSG00000175809,158506,Q8N7E2,RING,RING,0.01,0.2,plasmacytoid DC,dendritic cells,1.5361,0.9828,0.3311,0.3971
ELOA2,ENSG00000206181,51224,Q8IYF1,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.01,0.2,Exhausted memory B-cell,B-cells,1.5361,0.9828,0.3311,0.3971
TRIM50,ENSG00000146755,135892,Q86XT4,RING,RING,0.0133,0.2,Memory CD4 T-cell Th17,T-cells,1.4887,0.9655,0.3689,0.3781
TNFAIP1,ENSG00000109079,7126,Q13829,CRL3,CRL3 substrate receptor (BTB protein),31.56,39.4,Plasmablast,B-cells,0.3316,0.2058,0.2137,0.3642
RANBP2,ENSG00000153201,5903,P49792,atypical,"Atypical E3 (interinal repeat region IR1-M-IR2), SUMO E3",14.85,19.0,Plasmablast,B-cells,0.3673,0.226,0.233,0.3587
MARCHF4,ENSG00000144583,57574,Q9P2E8,RING,RING,0.0233,0.2,basophil,granulocytes,1.3555,0.9138,0.4745,0.3258
DCAF8,ENSG00000132716,50717,Q5TAQ9,CRL4,CRL4 substrate receptor (DDB1-binding protein),174.1467,205.4,naive CD8 T-cell,T-cells,0.247,0.1574,0.1954,0.2989
ASB11,ENSG00000165192,140456,Q8WXH4,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.1967,0.4,basophil,granulocytes,0.7876,0.5259,0.6122,0.201
FBXO47,ENSG00000204952,494188,Q5MNV8,CRL1,CRL1 substrate receptor (F-box protein),0.0033,0.1,neutrophil,granulocytes,1.0,1.0,0.1795,0.1375
FBXW10,ENSG00000171931,10517,Q5XX13,CRL1,CRL1 substrate receptor (F-box protein),0.0033,0.1,Plasmablast,B-cells,1.0,1.0,0.1795,0.1375
KBTBD11,ENSG00000176595,9920,O94819,CRL3,CRL3 substrate receptor (BTB protein),0.0033,0.1,Memory CD4 T-cell TFH,T-cells,1.0,1.0,0.1795,0.1375
TRIM48,ENSG00000150244,79097,Q8IWZ4,RING,RING,0.0033,0.1,basophil,granulocytes,1.0,1.0,0.1795,0.1375
TRIM67,ENSG00000119283,440730,Q6ZTA4,RING,RING,0.0033,0.1,Central memory CD8 T-cell,T-cells,1.0,1.0,0.1795,0.1375
SPSB4,ENSG00000175093,92369,Q96A44,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.0067,0.1,neutrophil,granulocytes,0.9511,0.9655,0.2494,0.1263
ASB10,ENSG00000146926,136371,Q8WXI3,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
ASB17,ENSG00000154007,127247,Q8WXJ9,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
BTBD16,ENSG00000138152,118663,Q32M84,CRL3,CRL3 substrate receptor (BTB protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
CBLC,ENSG00000142273,23624,Q9ULV8,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
DCAF4L2,ENSG00000176566,138009,Q8NA75,CRL4,CRL4 substrate receptor (DDB1-binding protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
DCAF8L2,ENSG00000189186,347442,P0C7V8,CRL4,CRL4 substrate receptor (DDB1-binding protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
FBXL7,ENSG00000183580,23194,Q9UJT9,CRL1,CRL1 substrate receptor (F-box protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
FBXW12,ENSG00000164049,285231,Q6X9E4,CRL1,CRL1 substrate receptor (F-box protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
GMCL2,ENSG00000244234,64396,Q8NEA9,CRL3,CRL3 substrate receptor (BTB protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
KBTBD13,ENSG00000234438,390594,C9JR72,CRL3,CRL3 substrate receptor (BTB protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
KLHL1,ENSG00000150361,57626,Q9NR64,CRL3,CRL3 substrate receptor (BTB protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
KLHL40,ENSG00000157119,131377,Q2TBA0,CRL3,CRL3 substrate receptor (BTB protein),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
MEX3D,ENSG00000181588,399664,Q86XN8,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
PRAMEF12,ENSG00000116726,390999,O95522,CRL2,CRL2 substrate receptor (BC-CUL2-box),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
PRAMEF17,ENSG00000204479,391004,Q5VTA0,CRL2,CRL2 substrate receptor (BC-CUL2-box),0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
RFPL4B,ENSG00000251258,442247,Q6ZWI9,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
RNF133,ENSG00000188050,168433,Q8WVZ7,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
RNF148,ENSG00000235631,378925,Q8N7C7,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
RNF186,ENSG00000178828,54546,Q9NXI6,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
RNF225,ENSG00000269855,646862,M0QZC1,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM15,ENSG00000204610,89870,Q9C019,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM31,ENSG00000204616,11074,Q9BZY9,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM40,ENSG00000204614,135644,Q6P9F5,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM42,ENSG00000155890,287015,Q8IWZ5,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM43,ENSG00000144015,129868,Q96BQ3,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM43B,ENSG00000144010,653192,A6NCK2,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM49B,ENSG00000182053,283116,A6NDI0,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM63,ENSG00000158022,84676,Q969Q1,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIM77,ENSG00000214414,390231,I1YAP6,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
TRIML1,ENSG00000184108,339976,Q8N9V2,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
ZNRF4,ENSG00000105428,148066,Q8WWF5,RING,RING,0.0,0.0,basophil,granulocytes,0.0,0.0,0.0,0.0
